PlayerID,FullName,YearID,WARYearOne,WARYearTwo,WARYearThree,WARYearFour,WARYearFive,WARYearSix
4784,Jared Abruzzo,2001,,,,,,
2820,Shawn Wooten,2001,1.1,0.2,-0.9,-0.6,0.0,
2909,Brad Cresse,2001,,,,,,
3564,Rod Barajas,2001,-0.9,-0.3,-0.7,0.7,1.9,1.1
1,Miguel Bernard,2001,,,,,,
2895,Octavio Martinez,2001,,,,,,
2052,Fernando Lunar,2001,0.4,0.0,,,,
3429,Steve Lomasney,2001,,,,,,
3526,Bryan Barnowski,2001,,,,,,
2700,Miguel Olivo,2001,,0.0,0.9,0.9,-0.2,1.5
1971,Josh Paul,2001,0.1,-0.1,0.2,0.1,0.0,-0.2
5317,Jeff Goldbach,2001,,,,,,
1787,Ryan Jorgensen,2001,,,,,-0.1,
1414,Dane Sardinha,2001,,,0.0,,-0.1,
281,Jeff Winchester,2001,,,,,,
1282,Josh Bard,2001,,0.0,0.8,0.4,-0.1,2.7
1972,Brandon Inge,2001,-0.4,0.1,0.6,1.7,3.2,4.2
3761,Javier Cardona,2001,0.4,-0.5,,,,
1724,Brandon Harper,2001,,,,,,0.3
2598,John Buck,2001,,,,0.3,0.9,0.8
580,Mike Tonis,2001,,,,-0.1,,
1518,Paul Phillips,2001,,,,0.0,0.0,0.2
5448,Scott Walter,2001,,,,,,
1494,Jose Diaz,2001,,,,,,-0.2
977,Koyie Hill,2001,,,0.0,-0.1,0.0,
4010,Kade Johnson,2001,,,,,,
165,Jason Belcher,2001,,,,,,
2699,Brian Moon,2001,,,,,,
1924,Justin Morneau,2001,,,-0.2,0.8,1.5,3.8
805,Rob Bowen,2001,,,-0.3,-0.3,,0.5
5470,A.J. Pierzynski,2001,1.6,2.1,3.6,0.5,1.6,2.0
717,Chad Moeller,2001,0.0,0.8,0.8,-1.1,-0.5,-0.5
4947,Brian Schneider,2001,0.4,0.9,0.6,2.1,2.5,0.3
2293,David Parrish,2001,,,,,,
4751,Gerald Laird,2001,,,0.3,-0.1,-0.1,1.6
625,Beau Craig,2001,,,,,,
4289,Russ Jacobson,2001,,,,,,
2460,Johnny Estrada,2001,-0.1,-0.2,0.0,2.7,0.0,0.7
4723,J.R. House,2001,,,0.0,-0.1,,-0.3
1343,Ryan Doumit,2001,,,,,0.6,0.0
550,Humberto Cota,2001,-0.1,0.1,0.0,0.3,0.4,-0.7
5012,Craig Wilson,2001,1.5,1.0,1.8,1.1,1.0,-0.7
2769,Lee Evans,2001,,,,,,
4844,Nick Trzesniak,2001,,,,,,
3491,Omar Falcon,2001,,,,,,
1110,Andres Pagan,2001,,,,,,
1613,Ryan Christianson,2001,,,,,,
723,Giuseppe Chiaramonte,2001,,,,,,
2750,Yorvit Torrealba,2001,0.1,0.6,1.0,0.3,0.3,0.8
3680,Edwards Guzman,2001,-0.3,,-1.1,,,
3234,Shawn Schumacher,2001,,,,,,
4401,Toby Hall,2001,1.1,0.5,1.3,0.3,1.5,-0.4
3510,Scott Heard,2001,,,,,,
639,Joe Lawrence,2001,,-0.9,,,,
1885,Josh Phelps,2001,-0.1,1.5,0.7,-0.4,0.1,
1979,Jayson Werth,2001,,0.3,0.1,2.4,1.2,
1297,Jeff Mathis,2002,,,,0.0,-0.3,0.3
4784,Jared Abruzzo,2002,,,,,,
2909,Brad Cresse,2002,,,,,,
993,Craig Ansman,2002,,,,,,
4419,Eli Whiteside,2002,,,,0.0,,
2895,Octavio Martinez,2002,,,,,,
3429,Steve Lomasney,2002,,,,,,
1727,Kelly Shoppach,2002,,,,-0.3,0.4,1.2
2700,Miguel Olivo,2002,0.0,0.9,0.9,-0.2,1.5,0.7
2947,Humberto Quintero,2002,,-0.1,0.1,-0.5,0.3,-0.1
25,Charlie Lisk,2002,,,,,,
1787,Ryan Jorgensen,2002,,,,-0.1,,0.1
