PlayerID,FullName,YearID,WARYearOne,WARYearTwo,WARYearThree,WARYearFour,WARYearFive,WARYearSix
10,Ryan Garko,2005,0.0,0.3,0.5,-0.2,0.7,-0.6
10,Ryan Garko,2006,0.3,0.5,-0.2,0.7,-0.6,
12,Brandon Waring,2008,,,,,,
12,Brandon Waring,2009,,,,,,
12,Brandon Waring,2010,,,,,,
12,Brandon Waring,2011,,,,,,
12,Brandon Waring,2012,,,,,,
13,Michael Durant,2006,,,,,,
32,Jan Hernandez,2014,,,,,,
43,Kris Bryant,2014,,6.1,7.9,6.7,2.3,4.8
45,Damon Minor,2001,,,,,,
49,Ryan Finan,2005,,,,,,
51,Aarom Baldiris,2004,,,,,,
51,Aarom Baldiris,2005,,,,,,
54,Kris Harvey,2006,,,,,,
62,C.J. Cron,2012,,,-0.2,0.5,1.4,0.3
62,C.J. Cron,2013,,-0.2,0.5,1.4,0.3,2.2
62,C.J. Cron,2014,-0.2,0.5,1.4,0.3,2.2,0.3
67,Scott Thorman,2001,,,,,,-0.1
67,Scott Thorman,2003,,,,-0.1,-1.0,
67,Scott Thorman,2004,,,-0.1,-1.0,,
67,Scott Thorman,2005,,-0.1,-1.0,,,
67,Scott Thorman,2006,-0.1,-1.0,,,,
67,Scott Thorman,2007,-1.0,,,,,
78,Jorge Toca,2001,-0.2,,,,,
85,Edwin Encarnacion,2002,,,,0.2,1.9,1.2
85,Edwin Encarnacion,2003,,,0.2,1.9,1.2,1.6
85,Edwin Encarnacion,2004,,0.2,1.9,1.2,1.6,0.1
85,Edwin Encarnacion,2005,0.2,1.9,1.2,1.6,0.1,1.7
137,Ryon Healy,2014,,,1.5,0.3,-0.9,-0.1
140,Royce Huffman,2001,,,,,,
142,Habelito Hernandez,2004,,,,,,
168,Stephen Head,2006,,,,,,
168,Stephen Head,2007,,,,,,
178,Adam Heether,2005,,,,,,
178,Adam Heether,2006,,,,,,
184,Logan Forsythe,2009,,,0.4,1.4,-0.6,-0.1
184,Logan Forsythe,2010,,0.4,1.4,-0.6,-0.1,4.1
187,Jason Taylor,2007,,,,,,
187,Jason Taylor,2009,,,,,,
190,Stephen Piscotty,2013,,,1.4,1.9,0.4,3.1
194,Ramon German,2001,,,,,,
194,Ramon German,2002,,,,,,
194,Ramon German,2003,,,,,,
195,Matt Holliday,2001,,,,1.3,2.6,3.5
205,Ruben Salazar,2001,,,,,,
206,Jack Cust,2001,0.1,-0.6,0.2,0.0,,0.0
207,Brooks Conrad,2007,,-0.2,-0.1,0.8,0.6,-0.6
209,Jon Nelson,2003,,,,,,
210,Albert Pujols,2001,7.2,5.4,9.5,7.8,7.7,8.1
215,Mark Trumbo,2005,,,,,,-0.2
215,Mark Trumbo,2006,,,,,-0.2,1.8
215,Mark Trumbo,2007,,,,-0.2,1.8,2.8
215,Mark Trumbo,2008,,,-0.2,1.8,2.8,1.7
215,Mark Trumbo,2009,,-0.2,1.8,2.8,1.7,-0.5
215,Mark Trumbo,2010,-0.2,1.8,2.8,1.7,-0.5,1.1
