PlayerID,FullName,YearID,WARYearOne,WARYearTwo,WARYearThree,WARYearFour,WARYearFive,WARYearSix
21,Zach Sorensen,2001,,,-0.4,,-0.1,
21,Zach Sorensen,2002,,-0.4,,-0.1,,
36,Jason Bourgeois,2001,,,,,,
36,Jason Bourgeois,2002,,,,,,
36,Jason Bourgeois,2003,,,,,,0.0
36,Jason Bourgeois,2004,,,,,0.0,0.0
36,Jason Bourgeois,2005,,,,0.0,0.0,0.0
37,Juan Francia,2005,,,,,,
37,Juan Francia,2006,,,,,,
40,Scott Sizemore,2007,,,,-0.3,1.8,
40,Scott Sizemore,2008,,,-0.3,1.8,,-0.1
40,Scott Sizemore,2009,,-0.3,1.8,,-0.1,0.2
40,Scott Sizemore,2010,-0.3,1.8,,-0.1,0.2,
51,Aarom Baldiris,2006,,,,,,
60,Eduardo Escobar,2009,,,0.0,-0.2,0.0,2.6
60,Eduardo Escobar,2010,,0.0,-0.2,0.0,2.6,1.9
60,Eduardo Escobar,2011,0.0,-0.2,0.0,2.6,1.9,-0.1
60,Eduardo Escobar,2012,-0.2,0.0,2.6,1.9,-0.1,1.7
63,Jose Iglesias,2010,,-0.2,-0.1,2.3,,1.5
63,Jose Iglesias,2011,-0.2,-0.1,2.3,,1.5,2.2
63,Jose Iglesias,2012,-0.1,2.3,,1.5,2.2,1.7
63,Jose Iglesias,2013,2.3,,1.5,2.2,1.7,2.5
79,Alfonso Soriano,2001,0.1,5.6,5.1,2.2,2.4,5.4
85,Edwin Encarnacion,2003,,,0.2,1.9,1.2,1.6
95,Dave Matranga,2002,,0.0,,0.0,,
119,Junior Arias,2011,,,,,,
127,Jose Docen,2001,,,,,,
129,Leonel Cabrera,2002,,,,,,
140,Royce Huffman,2001,,,,,,
142,Habelito Hernandez,2004,,,,,,
146,J.P. Crawford,2014,,,,0.5,0.3,1.3
149,Bobby Crosby,2002,,-0.5,2.6,3.8,0.4,0.0
149,Bobby Crosby,2003,-0.5,2.6,3.8,0.4,0.0,1.3
149,Bobby Crosby,2004,2.6,3.8,0.4,0.0,1.3,-0.6
166,Ruddy Yan,2001,,,,,,
166,Ruddy Yan,2002,,,,,,
166,Ruddy Yan,2003,,,,,,
166,Ruddy Yan,2004,,,,,,
172,Drew Cumberland,2008,,,,,,
172,Drew Cumberland,2009,,,,,,
172,Drew Cumberland,2010,,,,,,
172,Drew Cumberland,2011,,,,,,
180,Erick Aybar,2003,,,,-0.1,-0.9,2.1
180,Erick Aybar,2004,,,-0.1,-0.9,2.1,3.8
180,Erick Aybar,2005,,-0.1,-0.9,2.1,3.8,1.2
