PlayerID,FullName,YearID,WARYearOne,WARYearTwo,WARYearThree,WARYearFour,WARYearFive,WARYearSix
5,Jarrett Parker,2011,,,,,0.9,0.5
5,Jarrett Parker,2012,,,,0.9,0.5,0.3
6,Xavier Avery,2009,,,,-0.1,,
6,Xavier Avery,2010,,,-0.1,,,
6,Xavier Avery,2011,,-0.1,,,,
6,Xavier Avery,2012,-0.1,,,,,
6,Xavier Avery,2013,,,,,,
14,Dave Sappelt,2011,0.3,0.7,-0.4,,,
14,Dave Sappelt,2012,0.7,-0.4,,,,
20,Cord Sandberg,2014,,,,,,
23,Michael Restovich,2001,,-0.1,0.3,-0.2,-0.3,-0.1
23,Michael Restovich,2002,-0.1,0.3,-0.2,-0.3,-0.1,-0.4
23,Michael Restovich,2003,0.3,-0.2,-0.3,-0.1,-0.4,
23,Michael Restovich,2004,-0.2,-0.3,-0.1,-0.4,,
23,Michael Restovich,2005,-0.3,-0.1,-0.4,,,
27,Robby Hefflinger,2013,,,,,,
27,Robby Hefflinger,2014,,,,,,
30,Mike Fish,2014,,,,,,
38,John Raynor,2007,,,,0.0,,
38,John Raynor,2008,,,0.0,,,
38,John Raynor,2009,,0.0,,,,
38,John Raynor,2010,0.0,,,,,
42,Kevin Pillar,2013,-0.2,0.4,3.7,2.4,2.0,2.0
42,Kevin Pillar,2014,0.4,3.7,2.4,2.0,2.0,1.5
54,Kris Harvey,2006,,,,,,
54,Kris Harvey,2007,,,,,,
55,Josh Womack,2004,,,,,,
57,Jamar Walton,2005,,,,,,
61,Trent Mummey,2011,,,,,,
61,Trent Mummey,2012,,,,,,
67,Scott Thorman,2007,-1.0,,,,,
73,Danny Carroll,2008,,,,,,
73,Danny Carroll,2009,,,,,,
80,Kevin Mench,2001,,1.1,0.5,3.7,2.7,-0.2
80,Kevin Mench,2002,1.1,0.5,3.7,2.7,-0.2,1.1
81,Jackson Melian,2001,,,,,,
81,Jackson Melian,2002,,,,,,
88,Kyle Hudson,2010,,-0.5,,,,
88,Kyle Hudson,2012,,,,,,
94,Jonathan Reynoso,2013,,,,,,
94,Jonathan Reynoso,2014,,,,,,
101,Jeff Francoeur,2003,,,3.0,0.7,3.3,-1.3
101,Jeff Francoeur,2004,,3.0,0.7,3.3,-1.3,0.0
101,Jeff Francoeur,2005,3.0,0.7,3.3,-1.3,0.0,0.3
103,Estee Harris,2004,,,,,,
104,Matt LaPorta,2008,,0.2,-0.7,-0.6,-0.1,
104,Matt LaPorta,2009,0.2,-0.7,-0.6,-0.1,,
107,Kent Matthes,2010,,,,,,
107,Kent Matthes,2012,,,,,,
107,Kent Matthes,2013,,,,,,
109,Jon Edwards,2007,,,,,,
112,Danry Vasquez,2011,,,,,,
112,Danry Vasquez,2012,,,,,,
112,Danry Vasquez,2013,,,,,,
112,Danry Vasquez,2014,,,,,,
119,Junior Arias,2014,,,,,,
120,Chevy Clarke,2011,,,,,,
122,Juan Silvestre,2001,,,,,,
125,Candido Martinez,2002,,,,,,
136,Hilton Richardson,2010,,,,,,
147,Reggie Taylor,2001,0.0,0.4,-0.2,,-0.1,
147,Reggie Taylor,2002,0.4,-0.2,,-0.1,,
153,Steve Moss,2003,,,,,,
153,Steve Moss,2004,,,,,,
153,Steve Moss,2005,,,,,,
153,Steve Moss,2006,,,,,,
165,Jason Belcher,2003,,,,,,
165,Jason Belcher,2004,,,,,,
181,Stefan Gartrell,2010,,,,,,
186,Adrian Ortiz,2009,,,,,,
189,Aaron Altherr,2011,,,,-0.1,1.5,-0.4
189,Aaron Altherr,2012,,,-0.1,1.5,-0.4,1.4
189,Aaron Altherr,2013,,-0.1,1.5,-0.4,1.4,-0.5
189,Aaron Altherr,2014,-0.1,1.5,-0.4,1.4,-0.5,-0.9
190,Stephen Piscotty,2013,,,1.4,1.9,0.4,3.1
190,Stephen Piscotty,2014,,1.4,1.9,0.4,3.1,0.6
191,Jose Urena,2014,,,,,,
195,Matt Holliday,2001,,,,1.3,2.6,3.5
195,Matt Holliday,2002,,,1.3,2.6,3.5,6.9
195,Matt Holliday,2003,,1.3,2.6,3.5,6.9,5.9
195,Matt Holliday,2004,1.3,2.6,3.5,6.9,5.9,5.4
203,Jacob Scavuzzo,2014,,,,,,
206,Jack Cust,2001,0.1,-0.6,0.2,0.0,,0.0
206,Jack Cust,2002,-0.6,0.2,0.0,,0.0,2.8
206,Jack Cust,2003,0.2,0.0,,0.0,2.8,2.1
209,Jon Nelson,2003,,,,,,
215,Mark Trumbo,2010,-0.2,1.8,2.8,1.7,-0.5,1.1
215,Mark Trumbo,2011,1.8,2.8,1.7,-0.5,1.1,2.2
222,T.J. Bohn,2006,-0.2,,0.3,,,
226,Jai Miller,2004,,,,,0.0,
226,Jai Miller,2005,,,,0.0,,0.2
226,Jai Miller,2008,0.0,,0.2,0.0,,
226,Jai Miller,2010,0.2,0.0,,,,
231,Pete Hissey,2009,,,,,,
234,Ty Linton,2011,,,,,,
234,Ty Linton,2012,,,,,,
236,Jake Skole,2011,,,,,,
236,Jake Skole,2012,,,,,,
241,Andrew Lopez,2006,,,,,,
250,Jaisen Randolph,2001,,,,,,
251,Elvin Andujar,2001,,,,,,
252,Terry Evans,2007,0.1,,0.0,0.0,,
252,Terry Evans,2008,,0.0,0.0,,,
255,James Darnell,2012,0.0,,,,,
255,James Darnell,2013,,,,,,
258,Ronnie Welty,2011,,,,,,
261,John Rodriguez,2002,,,,0.4,0.6,
266,Freddy Guzman,2003,,0.0,,0.1,0.0,
266,Freddy Guzman,2004,0.0,,0.1,0.0,,0.0
266,Freddy Guzman,2005,,0.1,0.0,,0.0,
266,Freddy Guzman,2006,0.1,0.0,,0.0,,
266,Freddy Guzman,2007,0.0,,0.0,,,
266,Freddy Guzman,2008,,0.0,,,,0.0
275,David Lough,2008,,,,,-0.2,1.8
275,David Lough,2009,,,,-0.2,1.8,1.2
275,David Lough,2010,,,-0.2,1.8,1.2,-0.3
275,David Lough,2011,,-0.2,1.8,1.2,-0.3,0.0
275,David Lough,2012,-0.2,1.8,1.2,-0.3,0.0,
275,David Lough,2013,1.8,1.2,-0.3,0.0,,
282,Rafael Boitel,2001,,,,,,
287,Roger Kieschnick,2009,,,,,-0.3,-0.4
287,Roger Kieschnick,2010,,,,-0.3,-0.4,
287,Roger Kieschnick,2011,,,-0.3,-0.4,,
287,Roger Kieschnick,2012,,-0.3,-0.4,,,
287,Roger Kieschnick,2013,-0.3,-0.4,,,,
287,Roger Kieschnick,2014,-0.4,,,,,
290,Tim Wheeler,2010,,,,,,
290,Tim Wheeler,2011,,,,,,
290,Tim Wheeler,2012,,,,,,
290,Tim Wheeler,2013,,,,,,
300,Vince Faison,2001,,,,,,
